GrLivArea,BedroomAbvGr,Bathrooms,PropertyAge,GarageCars,TotalBsmtSF,OverallQual,LotArea,TotRmsAbvGrd,2ndFlrSF,GarageArea,BsmtFinSF1,BsmtUnfSF,1stFlrSF,GarageYrBlt,WoodDeckSF,OpenPorchSF,MasVnrArea,OverallCond,LotShape,ScreenPorch,MSSubClass,LotFrontage,CrimeRate,MedianIncome,InterestRate,UnemploymentRate,YrSold,MoSold,QrtSold,BldgType,RenovationFlag,SaleDate,SalePrice
912,2,2.0,29,2.0,888.0,6,7540,5,0,470.0,773.0,115.0,912,1978.0,0,0,0.0,6,IR1,192,85,68.0,29.102296283256685,48910.0,6.68,3.4,2007,6,Q2,1Fam,0,2007-06-01,156000.0
1432,3,2.5,30,2.0,716.0,5,8286,6,716,531.0,531.0,185.0,716,1977.0,0,136,0.0,7,IR1,240,60,68.0,29.102296283256685,48910.0,6.68,3.4,2007,6,Q2,1Fam,0,2007-06-01,178680.587503997
1426,3,1.5,89,1.0,912.0,7,7642,7,514,216.0,0.0,912.0,912,1925.0,0,240,0.0,8,Reg,0,50,55.0,29.102296283256685,48910.0,6.68,3.4,2007,6,Q2,1Fam,1,2007-06-01,189950.0
1652,3,2.5,48,2.0,1592.0,6,22002,6,0,510.0,1386.0,206.0,1652,1959.0,0,0,136.0,7,Reg,201,20,68.0,29.102296283256685,48910.0,6.710000000000001,3.0,2007,7,Q3,1Fam,1,2007-07-01,206779.094049527
924,3,1.0,58,2.0,672.0,5,8064,6,252,576.0,0.0,672.0,672,2003.0,0,0,0.0,7,Reg,0,50,60.0,29.102296283256685,48910.0,6.710000000000001,3.0,2007,7,Q3,1Fam,1,2007-07-01,122900.0
1196,2,2.0,91,2.0,1196.0,4,4800,5,0,440.0,197.0,999.0,1196,1957.0,0,0,0.0,7,Reg,0,30,40.0,29.102296283256685,48910.0,6.710000000000001,3.0,2007,7,Q3,1Fam,1,2007-07-01,109900.0
1948,4,2.5,4,2.0,847.0,7,7875,8,1101,434.0,0.0,847.0,847,2003.0,0,48,16.0,5,Reg,0,60,63.0,29.102296283256685,48910.0,6.710000000000001,3.0,2007,7,Q3,1Fam,0,2007-07-01,192252.496354076
1995,4,2.5,5,2.0,854.0,7,8740,8,1131,435.0,574.0,280.0,864,2002.0,264,48,0.0,5,IR1,0,60,68.0,29.102296283256685,48910.0,6.710000000000001,3.0,2007,7,Q3,1Fam,0,2007-07-01,193954.849525775
1959,4,2.5,3,2.0,847.0,7,11796,8,1112,434.0,0.0,847.0,847,2004.0,100,48,0.0,5,IR1,0,60,59.0,29.102296283256685,48910.0,6.710000000000001,3.0,2007,7,Q3,1Fam,1,2007-07-01,215000.0
1025,3,2.0,31,2.0,1015.0,5,8660,6,0,370.0,502.0,513.0,1025,1979.0,127,0,113.0,5,IR1,0,80,59.0,29.102296283256685,48910.0,6.710000000000001,3.0,2007,7,Q3,1Fam,0,2007-07-01,180521.52640004
1656,3,2.0,1,3.0,1656.0,8,11096,7,0,826.0,24.0,1632.0,1656,2006.0,0,146,0.0,5,Reg,0,20,84.0,29.102296283256685,48910.0,6.710000000000001,3.0,2007,7,Q3,1Fam,0,2007-07-01,249700.0
768,2,1.0,52,1.0,768.0,4,8172,4,0,355.0,544.0,224.0,768,1959.0,0,0,0.0,5,Reg,0,20,60.0,29.102296283256685,48910.0,6.710000000000001,3.0,2007,7,Q3,1Fam,0,2007-07-01,166285.243628001
1575,2,3.0,15,2.0,1575.0,6,8012,5,0,529.0,430.0,1145.0,1575,1992.0,0,0,0.0,5,Reg,0,120,50.0,29.102296283256685,48910.0,6.710000000000001,3.0,2007,7,Q3,TwnhsE,0,2007-07-01,179200.0
3078,4,3.5,9,3.0,1408.0,9,10557,9,1407,806.0,672.0,736.0,1671,1998.0,108,87,422.0,5,IR1,0,60,89.0,29.102296283256685,48910.0,6.710000000000001,3.0,2007,7,Q3,1Fam,0,2007-07-01,197530.775205517
1358,3,1.5,77,1.0,687.0,5,3600,6,671,336.0,316.0,371.0,687,2004.0,0,32,0.0,7,Reg,0,70,60.0,29.102296283256685,48910.0,6.710000000000001,3.0,2007,7,Q3,1Fam,1,2007-07-01,170563.252355189
1282,2,2.0,65,1.0,672.0,5,4484,4,504,240.0,485.0,187.0,778,1942.0,0,88,0.0,6,IR1,0,190,59.0,29.102296283256685,48910.0,6.710000000000001,3.0,2007,7,Q3,2fmCon,1,2007-07-01,159027.118197683
914,2,1.0,46,1.0,914.0,4,17199,4,0,270.0,314.0,600.0,914,1961.0,140,0,0.0,7,Reg,0,20,68.0,29.102296283256685,48910.0,6.710000000000001,3.0,2007,7,Q3,1Fam,0,2007-07-01,184050.725802482
992,2,2.0,37,1.0,530.0,4,1533,4,462,297.0,503.0,27.0,530,1970.0,112,97,0.0,5,Reg,0,180,68.0,29.102296283256685,48910.0,6.710000000000001,3.0,2007,7,Q3,Twnhs,0,2007-07-01,153219.437030419
2320,3,3.5,62,1.0,1028.0,6,7259,9,884,180.0,774.0,104.0,1436,1945.0,224,0,0.0,8,IR1,0,70,61.0,29.102296283256685,48910.0,6.710000000000001,3.0,2007,7,Q3,1Fam,1,2007-07-01,259500.0
1097,3,2.5,11,1.0,1097.0,5,16561,6,0,242.0,549.0,548.0,1097,1996.0,306,0,0.0,5,IR2,0,20,70.0,29.102296283256685,48910.0,6.710000000000001,3.0,2007,7,Q3,1Fam,0,2007-07-01,196070.997393789
1005,3,2.0,43,2.0,1005.0,4,14299,5,0,440.0,513.0,348.0,1005,1964.0,0,0,0.0,3,Reg,0,20,62.0,29.102296283256685,48910.0,6.710000000000001,3.0,2007,7,Q3,1Fam,0,2007-07-01,191619.294648838
1542,3,3.0,0,3.0,1542.0,8,11830,6,0,852.0,1220.0,322.0,1542,2007.0,168,110,164.0,5,Reg,0,20,91.0,29.102296283256685,48910.0,6.710000000000001,3.0,2007,7,Q3,1Fam,0,2007-07-01,186760.207965688
990,3,2.0,13,1.0,990.0,5,8428,5,0,384.0,420.0,570.0,990,1995.0,256,0,0.0,7,IR2,0,20,60.0,29.102296283256685,48910.0,6.710000000000001,3.0,2007,7,Q3,1Fam,0,2007-07-01,180064.941503122
1922,3,3.0,2,3.0,1922.0,9,14157,8,0,676.0,1249.0,673.0,1922,2005.0,178,51,200.0,5,IR1,0,20,86.0,29.102296283256685,48910.0,6.710000000000001,3.0,2007,7,Q3,1Fam,1,2007-07-01,377426.0
1396,3,1.0,92,1.0,698.0,6,8730,7,698,384.0,0.0,698.0,698,2003.0,0,0,0.0,7,Reg,259,70,60.0,29.102296283256685,48910.0,6.710000000000001,3.0,2007,7,Q3,1Fam,1,2007-07-01,153575.0
2279,4,2.5,49,2.0,585.0,6,19958,7,0,461.0,0.0,585.0,2279,1958.0,274,0,1224.0,8,Reg,138,20,149.0,29.102296283256685,48910.0,6.710000000000001,3.0,2007,7,Q3,1Fam,1,2007-07-01,216032.303722443
1154,3,1.5,54,1.0,864.0,5,11556,6,0,336.0,408.0,456.0,1154,1962.0,63,0,0.0,9,Reg,0,20,60.0,29.102296283256685,48910.0,6.710000000000001,3.0,2007,7,Q3,1Fam,1,2007-07-01,186220.965458121
1977,3,2.5,1,3.0,982.0,7,9605,7,995,574.0,0.0,982.0,982,2006.0,240,53,0.0,5,Reg,0,60,70.0,29.102296283256685,48910.0,6.710000000000001,3.0,2007,7,Q3,1Fam,0,2007-07-01,182381.322639642
1842,3,3.5,7,2.0,985.0,7,8826,7,857,486.0,841.0,144.0,985,2000.0,193,96,144.0,5,Reg,0,60,68.0,29.102296283256685,48910.0,6.710000000000001,3.0,2007,7,Q3,1Fam,0,2007-07-01,180848.220765939
1976,2,3.0,1,3.0,1976.0,8,14977,7,0,908.0,1350.0,626.0,1976,2006.0,250,63,304.0,5,IR1,0,20,110.0,29.102296283256685,48910.0,6.710000000000001,3.0,2007,7,Q3,1Fam,1,2007-07-01,440000.0
1056,3,1.5,53,1.0,1056.0,5,9250,6,0,260.0,480.0,108.0,1056,1954.0,390,0,0.0,7,Reg,0,20,80.0,29.102296283256685,48910.0,6.710000000000001,3.0,2007,7,Q3,1Fam,1,2007-07-01,139400.0
2554,3,1.5,117,2.0,718.0,7,10800,8,978,704.0,0.0,718.0,1576,1996.0,0,48,0.0,8,Reg,0,70,60.0,29.102296283256685,48910.0,6.710000000000001,3.0,2007,7,Q3,1Fam,1,2007-07-01,159500.0
854,2,1.0,78,2.0,832.0,7,6120,5,0,576.0,0.0,832.0,854,1991.0,48,112,0.0,8,Reg,0,45,51.0,29.102296283256685,48910.0,6.710000000000001,3.0,2007,7,Q3,1Fam,1,2007-07-01,132000.0
960,2,1.0,87,1.0,960.0,4,6000,5,0,308.0,250.0,710.0,960,1997.0,0,0,0.0,4,Reg,0,30,50.0,29.102296283256685,48910.0,6.710000000000001,3.0,2007,7,Q3,1Fam,1,2007-07-01,108500.0
1456,3,2.5,1,2.0,728.0,7,11103,8,728,440.0,0.0,728.0,728,2006.0,0,0,0.0,5,IR1,0,60,85.0,29.102296283256685,48910.0,6.710000000000001,3.0,2007,7,Q3,1Fam,0,2007-07-01,155835.0
950,3,1.0,36,1.0,950.0,5,9758,5,0,280.0,412.0,251.0,950,1981.0,0,0,0.0,5,IR1,0,20,61.0,29.102296283256685,48910.0,6.710000000000001,3.0,2007,7,Q3,1Fam,0,2007-07-01,119500.0
1330,3,2.0,1,2.0,1330.0,6,8334,6,0,437.0,0.0,1330.0,1330,2006.0,0,23,0.0,5,Reg,0,20,64.0,29.102296283256685,48910.0,6.710000000000001,3.0,2007,7,Q3,1Fam,1,2007-07-01,179879.945898337
1756,3,3.5,11,2.0,872.0,6,9303,7,868,422.0,742.0,130.0,888,1996.0,144,122,42.0,5,IR1,0,60,68.0,29.102296283256685,48910.0,6.710000000000001,3.0,2007,7,Q3,1Fam,1,2007-07-01,204000.0
1040,3,2.0,48,1.0,1040.0,5,7500,6,0,286.0,574.0,466.0,1040,1959.0,0,0,0.0,7,Reg,0,20,68.0,29.102296283256685,48910.0,6.710000000000001,3.0,2007,7,Q3,1Fam,1,2007-07-01,178238.60191545
1296,3,1.0,80,2.0,845.0,6,6000,6,430,576.0,276.0,569.0,866,1980.0,0,0,0.0,6,Reg,0,50,50.0,29.102296283256685,48910.0,6.710000000000001,3.0,2007,7,Q3,1Fam,1,2007-07-01,175286.544392273
967,2,1.0,87,1.0,967.0,5,3153,5,0,180.0,0.0,967.0,967,1920.0,0,0,0.0,6,Reg,0,30,56.0,29.102296283256685,48910.0,6.710000000000001,3.0,2007,7,Q3,1Fam,1,2007-07-01,156407.65915545
1456,3,2.5,0,2.0,728.0,7,9018,8,728,400.0,0.0,728.0,728,2007.0,100,24,0.0,5,IR1,0,60,65.0,29.102296283256685,48910.0,6.710000000000001,3.0,2007,7,Q3,1Fam,0,2007-07-01,179540.0
1240,3,2.5,22,2.0,1265.0,7,10331,6,0,528.0,215.0,970.0,1240,1985.0,232,0,0.0,7,Reg,0,20,42.0,29.102296283256685,48910.0,6.710000000000001,3.0,2007,7,Q3,1Fam,0,2007-07-01,183810.11848086
1470,3,2.5,10,2.0,794.0,6,13869,6,676,388.0,182.0,612.0,794,1997.0,0,75,0.0,6,IR2,0,60,68.0,29.102296283256685,48910.0,6.710000000000001,3.0,2007,7,Q3,1Fam,0,2007-07-01,177000.0
1214,3,2.0,40,1.0,1214.0,5,10355,5,0,318.0,695.0,519.0,1214,1967.0,0,111,196.0,5,IR1,0,20,68.0,29.102296283256685,48910.0,6.710000000000001,3.0,2007,7,Q3,1Fam,0,2007-07-01,143000.0
1534,3,1.5,112,0.0,736.0,5,10800,6,783,0.0,0.0,736.0,751,1979.0,0,112,0.0,9,Reg,0,70,60.0,29.102296283256685,48910.0,6.710000000000001,3.0,2007,7,Q3,1Fam,1,2007-07-01,184733.12846644
1327,3,2.0,48,2.0,1063.0,5,7388,7,0,624.0,405.0,658.0,1327,1974.0,0,0,0.0,6,Reg,0,20,75.0,29.102296283256685,48910.0,6.710000000000001,3.0,2007,7,Q3,1Fam,1,2007-07-01,150750.0
1008,1,2.0,30,2.0,923.0,5,9129,4,0,678.0,923.0,0.0,1008,1977.0,201,66,144.0,5,Reg,0,85,72.0,29.102296283256685,48910.0,6.710000000000001,3.0,2007,7,Q3,1Fam,0,2007-07-01,154892.776269956
1302,2,1.5,67,1.0,680.0,7,6960,6,504,224.0,258.0,422.0,798,1940.0,0,0,0.0,8,Reg,126,50,70.0,29.102296283256685,48910.0,6.710000000000001,3.0,2007,7,Q3,1Fam,1,2007-07-01,163899.981149274
1456,3,2.5,0,2.0,728.0,7,7713,7,728,400.0,0.0,728.0,728,2007.0,100,24,16.0,5,Reg,0,60,64.0,29.102296283256685,48910.0,6.710000000000001,3.0,2007,7,Q3,1Fam,0,2007-07-01,178657.794083741
1351,3,2.0,82,2.0,901.0,5,16287,7,450,576.0,130.0,666.0,901,1975.0,0,0,0.0,6,Reg,100,50,74.0,29.102296283256685,48910.0,6.710000000000001,3.0,2007,7,Q3,1Fam,1,2007-07-01,195531.754886222
864,3,2.0,57,2.0,864.0,5,7200,5,0,720.0,398.0,317.0,864,1980.0,194,0,0.0,8,Reg,0,20,60.0,29.102296283256685,48910.0,6.710000000000001,3.0,2007,7,Q3,1Fam,1,2007-07-01,129000.0
1642,3,2.5,14,2.0,903.0,6,7655,7,732,392.0,0.0,903.0,910,1993.0,290,84,0.0,5,IR1,0,60,68.0,29.102296283256685,48910.0,6.710000000000001,3.0,2007,7,Q3,1Fam,1,2007-07-01,178543.647859512
1740,3,1.5,67,1.0,800.0,7,13125,6,780,240.0,410.0,390.0,960,1940.0,0,0,0.0,6,Reg,0,70,75.0,29.102296283256685,48910.0,6.710000000000001,3.0,2007,7,Q3,1Fam,1,2007-07-01,219500.0
605,2,2.0,87,0.0,528.0,4,9098,5,0,0.0,348.0,180.0,605,1979.0,0,0,0.0,7,IR1,0,30,58.0,29.102296283256685,48910.0,6.710000000000001,3.0,2007,7,Q3,1Fam,1,2007-07-01,86000.0
1668,3,3.0,5,3.0,1626.0,9,11248,7,0,702.0,1059.0,567.0,1668,2002.0,257,45,215.0,5,IR1,0,20,90.0,29.102296283256685,48910.0,6.710000000000001,3.0,2007,7,Q3,1Fam,0,2007-07-01,285000.0
1482,3,2.5,15,2.0,384.0,7,9125,7,670,392.0,0.0,384.0,812,1992.0,100,25,170.0,5,IR1,0,80,68.0,29.102296283256685,48910.0,6.710000000000001,3.0,2007,7,Q3,1Fam,0,2007-07-01,163900.0
1812,4,2.0,45,1.0,864.0,5,7590,8,936,264.0,540.0,324.0,876,1962.0,0,168,288.0,5,Reg,0,60,69.0,29.102296283256685,48910.0,6.710000000000001,3.0,2007,7,Q3,1Fam,0,2007-07-01,169500.0
1973,3,2.0,1,3.0,1935.0,8,14226,9,0,895.0,0.0,1935.0,1973,2006.0,315,45,375.0,5,Reg,0,20,110.0,29.102296283256685,48910.0,6.710000000000001,3.0,2007,7,Q3,1Fam,0,2007-07-01,395000.0
2541,4,4.5,2,3.0,1149.0,8,12328,10,1377,729.0,986.0,163.0,1164,2005.0,120,32,146.0,5,IR1,0,60,98.0,29.102296283256685,48910.0,6.710000000000001,3.0,2007,7,Q3,1Fam,0,2007-07-01,201016.171121215
1920,4,2.0,59,2.0,928.0,5,11345,10,992,400.0,220.0,708.0,928,1948.0,0,0,567.0,5,Reg,0,90,95.0,29.102296283256685,48910.0,6.710000000000001,3.0,2007,7,Q3,Duplex,1,2007-07-01,137000.0
1266,2,1.5,27,1.0,630.0,6,8012,5,636,283.0,0.0,630.0,630,1980.0,340,0,0.0,5,Reg,0,160,50.0,29.102296283256685,48910.0,6.710000000000001,3.0,2007,7,Q3,TwnhsE,0,2007-07-01,165970.357492196
968,2,1.0,84,2.0,968.0,5,8520,5,0,480.0,0.0,968.0,968,1935.0,0,0,0.0,6,Reg,0,30,60.0,29.102296283256685,48910.0,6.710000000000001,3.0,2007,7,Q3,1Fam,1,2007-07-01,100000.0
2087,5,2.5,41,2.0,832.0,6,12205,9,1111,444.0,568.0,264.0,976,1966.0,133,168,157.0,8,IR1,0,60,68.0,29.102296283256685,48910.0,6.710000000000001,3.0,2007,7,Q3,1Fam,1,2007-07-01,187500.0
2486,5,4.5,4,2.0,1122.0,7,11800,10,1340,452.0,766.0,356.0,1146,2003.0,143,32,94.0,5,IR1,0,60,68.0,29.102296283256685,48910.0,6.710000000000001,3.0,2007,7,Q3,1Fam,1,2007-07-01,213252.926930889
1325,3,2.0,59,2.0,409.0,5,17541,6,0,576.0,300.0,109.0,1325,1996.0,0,42,0.0,7,IR1,0,20,68.0,29.102296283256685,48910.0,6.710000000000001,3.0,2007,7,Q3,1Fam,1,2007-07-01,197999.674975598
1828,3,2.0,0,3.0,1822.0,9,11694,9,0,774.0,48.0,1774.0,1828,2007.0,0,108,452.0,5,Reg,260,20,90.0,29.102296283256685,48910.0,6.710000000000001,3.0,2007,7,Q3,1Fam,0,2007-07-01,314813.0
1242,2,1.0,61,1.0,484.0,4,17808,4,0,336.0,0.0,484.0,1242,1946.0,0,0,0.0,5,Reg,0,20,84.0,29.102296283256685,48910.0,6.710000000000001,3.0,2007,7,Q3,1Fam,1,2007-07-01,185249.261156892
1461,3,1.0,81,1.0,686.0,6,7155,6,775,225.0,0.0,686.0,686,1926.0,0,0,0.0,8,Reg,0,70,53.0,29.102296283256685,48910.0,6.710000000000001,3.0,2007,7,Q3,1Fam,1,2007-07-01,177559.628685119
1409,1,2.5,5,2.0,1409.0,7,12864,4,0,576.0,1392.0,17.0,1409,2002.0,0,144,0.0,5,IR1,145,20,44.0,29.102296283256685,48910.0,6.710000000000001,3.0,2007,7,Q3,1Fam,0,2007-07-01,162243.399502668
1426,3,1.0,77,1.0,966.0,5,6240,6,412,230.0,0.0,966.0,1014,1930.0,174,0,0.0,7,Reg,0,50,52.0,29.102296283256685,48910.0,6.710000000000001,3.0,2007,7,Q3,1Fam,1,2007-07-01,175758.873595981
808,2,1.0,49,1.0,808.0,5,5175,5,0,308.0,150.0,254.0,808,1963.0,143,0,0.0,8,Reg,0,20,50.0,29.102296283256685,48910.0,6.710000000000001,3.0,2007,7,Q3,1Fam,1,2007-07-01,160387.032696693
1322,4,2.0,68,1.0,672.0,5,6240,7,423,280.0,48.0,624.0,899,1939.0,0,0,0.0,8,Reg,0,50,52.0,29.102296283256685,48910.0,6.710000000000001,3.0,2007,7,Q3,1Fam,1,2007-07-01,189034.753653813
912,3,2.0,41,1.0,912.0,5,8169,6,0,315.0,216.0,261.0,912,1966.0,204,0,0.0,7,Reg,0,20,68.0,29.102296283256685,48910.0,6.710000000000001,3.0,2007,7,Q3,1Fam,0,2007-07-01,179555.219570787
1550,2,2.5,1,2.0,1550.0,8,5330,5,0,528.0,0.0,1550.0,1550,2007.0,0,102,0.0,5,IR2,0,120,30.0,29.102296283256685,48910.0,6.710000000000001,3.0,2007,7,Q3,TwnhsE,1,2007-07-01,160692.078640755
1378,2,3.0,3,2.0,1378.0,8,4379,6,0,540.0,851.0,527.0,1378,2004.0,160,56,0.0,5,IR1,0,120,45.0,29.102296283256685,48910.0,6.710000000000001,3.0,2007,7,Q3,TwnhsE,0,2007-07-01,158820.474171061
1328,2,2.0,48,1.0,1350.0,5,16905,5,0,308.0,967.0,383.0,1328,1959.0,0,104,0.0,6,Reg,0,20,115.0,29.102296283256685,48910.0,6.710000000000001,3.0,2007,7,Q3,1Fam,0,2007-07-01,170000.0
884,2,1.0,68,1.0,884.0,5,6120,5,0,240.0,0.0,884.0,884,1939.0,0,0,0.0,7,Reg,0,45,51.0,29.102296283256685,48910.0,6.710000000000001,3.0,2007,7,Q3,1Fam,1,2007-07-01,162246.828936295
1958,3,3.5,13,2.0,779.0,7,9317,7,929,499.0,497.0,282.0,1029,1994.0,202,93,0.0,5,Reg,0,60,75.0,29.102296283256685,48910.0,6.710000000000001,3.0,2007,7,Q3,1Fam,1,2007-07-01,181814.527595192
