GrLivArea,BedroomAbvGr,Bathrooms,PropertyAge,GarageCars,TotalBsmtSF,OverallQual,LotArea,TotRmsAbvGrd,2ndFlrSF,GarageArea,BsmtFinSF1,BsmtUnfSF,1stFlrSF,GarageYrBlt,WoodDeckSF,OpenPorchSF,MasVnrArea,OverallCond,LotShape,ScreenPorch,MSSubClass,LotFrontage,CrimeRate,MedianIncome,InterestRate,UnemploymentRate,YrSold,MoSold,QrtSold,BldgType,RenovationFlag,SaleDate,SalePrice
1734,3,3.0,1,2.0,1734.0,7,11645,7,0,660.0,1300.0,434.0,1734,2005.0,160,24,0.0,5,Reg,0,20,78.0,30.85894600589856,48130.0,6.135,3.1,2006,1,Q1,1Fam,0,2006-01-01,260000.0
2064,4,2.5,1,2.0,1074.0,8,13128,7,990,527.0,0.0,1074.0,1074,2005.0,0,119,216.0,5,IR1,0,60,50.0,30.85894600589856,48130.0,6.135,3.1,2006,1,Q1,1Fam,0,2006-01-01,196858.923438425
1142,3,1.5,1,0.0,1142.0,6,7733,5,0,0.0,24.0,1118.0,1142,1979.0,4,50,0.0,5,IR1,0,20,74.0,30.85894600589856,48130.0,6.135,3.1,2006,1,Q1,1Fam,0,2006-01-01,172965.476488899
2646,3,4.0,32,2.0,1748.0,7,14330,9,495,550.0,1023.0,228.0,2151,1974.0,641,100,145.0,4,IR1,0,80,100.0,30.85894600589856,48130.0,6.135,3.1,2006,1,Q1,1Fam,0,2006-01-01,185948.625475832
1050,3,2.0,45,1.0,1050.0,5,10659,6,0,368.0,915.0,135.0,1050,1961.0,0,319,0.0,6,IR1,0,20,68.0,30.85894600589856,48130.0,6.135,3.1,2006,1,Q1,1Fam,0,2006-01-01,136500.0
1964,3,2.5,1,2.0,1100.0,8,12447,8,848,760.0,0.0,1100.0,1116,2005.0,200,70,192.0,5,IR1,0,60,75.0,30.85894600589856,48130.0,6.135,3.1,2006,1,Q1,1Fam,1,2006-01-01,182242.80926507
1008,2,2.0,54,1.0,1008.0,5,12778,4,0,280.0,658.0,350.0,1008,1952.0,0,154,0.0,6,Reg,0,20,66.0,30.85894600589856,48130.0,6.135,3.1,2006,1,Q1,1Fam,1,2006-01-01,169618.349900686
1056,3,2.0,51,2.0,1056.0,5,34650,5,0,572.0,1056.0,0.0,1056,1955.0,264,0,0.0,5,Reg,0,190,100.0,30.85894600589856,48130.0,6.135,3.1,2006,1,Q1,2fmCon,0,2006-01-01,145000.0
1803,3,3.0,49,2.0,1134.0,5,13125,8,0,484.0,168.0,284.0,1803,1957.0,0,0,67.0,4,Reg,0,20,88.0,30.85894600589856,48130.0,6.135,3.1,2006,1,Q1,1Fam,1,2006-01-01,155000.0
1309,3,2.5,32,2.0,1040.0,6,10140,5,0,484.0,663.0,0.0,1309,1974.0,265,0,99.0,6,Reg,0,20,78.0,30.85894600589856,48130.0,6.135,3.1,2006,1,Q1,1Fam,1,2006-01-01,181000.0
